Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
All: LAG 0,0.014080,0.003243,0.072328,0.029137,-0.000567,0.000392,0.000899,0.000410
Female,0.010754,0.004111,0.032823,0.036950,-0.000595,0.000495,0.000448,0.000519
Male,0.017197,0.004157,0.109305,0.037333,-0.000540,0.000504,0.001322,0.000525
Warm All,0.012795,0.003934,0.068800,0.034617,-0.001390,0.000505,0.000726,0.000500
Warm Female,0.009680,0.004575,0.006378,0.040295,-0.000796,0.000587,0.000112,0.000582
Warm Male,0.015690,0.004584,0.126798,0.040295,-0.001946,0.000590,0.001295,0.000582
Cold All,0.016950,0.004119,0.074465,0.037789,0.000531,0.000436,0.001212,0.000524
Cold Female,0.011704,0.005052,0.083720,0.046368,-0.000417,0.000533,0.000838,0.000642
Cold Male,0.022019,0.005171,0.065847,0.047382,0.001447,0.000548,0.001575,0.000658
Age 0-10 All,0.064212,0.031108,0.042584,0.283023,-0.000497,0.003645,0.008842,0.003954
Age 0-10 Female,0.063318,0.043276,0.177292,0.381246,-0.003738,0.005200,0.010209,0.005482
Age 0-10 Male,0.066313,0.037664,-0.048657,0.349244,0.001521,0.004345,0.008058,0.004795
Age 11-60 All,0.017633,0.005003,0.056384,0.045220,-0.000071,0.000605,0.000828,0.000633
Age 11-60 Female,0.011456,0.007040,-0.017644,0.063830,0.000468,0.000846,-0.000491,0.000892
Age 11-60 Male,0.022307,0.006198,0.111602,0.055866,-0.000489,0.000753,0.001822,0.000782
Age 60+All,0.011640,0.003679,0.081142,0.032919,-0.000836,0.000444,0.000858,0.000464
Age 60+ Female,0.009998,0.004706,0.053820,0.042106,-0.001055,0.000567,0.000794,0.000593
Age 60+ Male,0.013359,0.005019,0.109782,0.044930,-0.000600,0.000607,0.000924,0.000633
All: LAG 1,0.010948,0.003261,0.029249,0.029122,0.000219,0.000393,0.000985,0.000408
Female,0.010580,0.004125,0.001660,0.036783,0.000678,0.000497,0.000837,0.000517
Male,0.011299,0.004182,0.055341,0.037388,-0.000211,0.000504,0.001125,0.000523
Warm All,0.009279,0.003957,0.003436,0.034428,-0.000188,0.000509,0.000580,0.000499
Warm Female,0.009946,0.004592,-0.030732,0.039892,0.000457,0.000591,0.000697,0.000578
Warm Male,0.008677,0.004614,0.035427,0.040187,-0.000784,0.000593,0.000474,0.000582
Cold All,0.014554,0.004144,0.088766,0.038221,0.000755,0.000436,0.001846,0.000522
Cold Female,0.010955,0.005077,0.074971,0.046752,0.000928,0.000534,0.001001,0.000641
Cold Male,0.018020,0.005204,0.102323,0.048054,0.000587,0.000547,0.002656,0.000654
Age 0-10 All,0.018539,0.031115,0.290805,0.283324,-0.004064,0.003650,0.003238,0.003927
Age 0-10 Female,-0.036975,0.044463,0.006603,0.389713,-0.006604,0.005082,-0.000541,0.005663
Age 0-10 Male,0.052042,0.037077,0.487281,0.345848,-0.002541,0.004420,0.005456,0.004655
Age 11-60 All,0.012355,0.005031,0.039385,0.044985,0.000752,0.000607,0.000901,0.000631
Age 11-60 Female,0.015249,0.007060,0.017698,0.063332,0.001451,0.000852,0.001079,0.000886
Age 11-60 Male,0.010216,0.006239,0.055729,0.055665,0.000221,0.000753,0.000774,0.000781
Age 60+All,0.010087,0.003693,0.021174,0.032936,-0.000023,0.000445,0.001004,0.000462
Age 60+ Female,0.008790,0.004719,-0.005718,0.041942,0.000385,0.000568,0.000736,0.000590
Age 60+ Male,0.011443,0.005038,0.049917,0.045079,-0.000453,0.000607,0.001286,0.000630
All: LAG2,0.006970,0.003282,0.031167,0.029046,-0.000399,0.000393,0.000755,0.000410
Female,0.008219,0.004147,0.022500,0.036741,-0.000702,0.000496,0.000837,0.000518
Male,0.005795,0.004208,0.039163,0.037238,-0.000115,0.000503,0.000678,0.000526
Warm All,0.003918,0.003971,0.005584,0.034333,-0.000842,0.000508,0.000401,0.000500
Warm Female,0.005996,0.004605,-0.007895,0.039884,-0.001066,0.000590,0.000621,0.000579
Warm Male,0.001993,0.004626,0.017911,0.039946,-0.000635,0.000592,0.000195,0.000583
Cold All,0.012957,0.004169,0.087122,0.038140,0.000187,0.000436,0.001415,0.000524
Cold Female,0.011568,0.005107,0.084582,0.046702,-0.000273,0.000534,0.001079,0.000643
Cold Male,0.014322,0.005227,0.089773,0.047928,0.000626,0.000546,0.001739,0.000656
Age 0-10 All,0.007973,0.031863,0.128635,0.281311,-0.003177,0.003665,0.001389,0.004063
Age 0-10 Female,0.050282,0.045011,0.187071,0.379896,0.000033,0.005043,0.010013,0.005666
Age 0-10 Male,-0.017917,0.038245,0.091449,0.346706,-0.005290,0.004468,-0.003791,0.004935
Age 11-60 All,0.003695,0.005058,0.013997,0.044866,-0.000575,0.000602,0.000561,0.000633
Age 11-60 Female,0.008888,0.007104,-0.000997,0.063406,-0.000756,0.000846,0.000894,0.000890
Age 11-60 Male,-0.000258,0.006267,0.024748,0.055393,-0.000436,0.000746,0.000312,0.000783
Age 60+All,0.008713,0.003715,0.039372,0.032851,-0.000275,0.000446,0.000849,0.000464
Age 60+ Female,0.007650,0.004739,0.031856,0.041849,-0.000680,0.000568,0.000751,0.000591
Age 60+ Male,0.009839,0.005068,0.047409,0.044903,0.000152,0.000608,0.000954,0.000634
All: LAG 3,0.002930,0.003281,0.006382,0.029136,-0.000296,0.000393,0.000600,0.000411
Female,0.002760,0.004142,0.008308,0.036822,-0.000719,0.000497,0.000488,0.000518
