Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
All: LAG 0,0.017037,0.003544,0.094890,0.031970,-0.002134,0.000430,0.000932,0.000449
Female,0.018078,0.002485,0.094023,0.036088,-0.002301,0.000484,0.001039,0.000506
Male,0.015919,0.002094,0.095869,0.035334,-0.001955,0.000476,0.000817,0.000498
Warm All,0.015047,0.001940,0.117171,0.036767,-0.000184,0.000354,0.000471,0.000429
Warm Female,0.014637,0.002610,0.155529,0.042310,-0.000313,0.000407,0.000361,0.000494
Warm Male,0.015504,0.002346,0.076208,0.041998,-0.000042,0.000404,0.000593,0.000489
Cold All,0.020294,0.003474,0.086796,0.029666,-0.005208,0.000523,0.001421,0.000469
Cold Female,0.022956,0.004500,0.069546,0.033044,-0.005491,0.000583,0.001731,0.000521
Cold Male,0.017451,0.003695,0.105130,0.032029,-0.004907,0.000567,0.001089,0.000509
Age 0-10 All,0.003277,0.003831,0.082277,0.061846,-0.000568,0.000886,0.000657,0.000919
Age 0-10 Female,0.005468,0.005507,0.073624,0.089713,0.002049,0.001285,0.000201,0.001345
Age 0-10 Male,0.001593,0.004781,0.088797,0.080609,-0.002593,0.001154,0.001001,0.001190
Age 11-60 All,0.015057,0.002078,0.094234,0.034149,-0.002060,0.000458,0.000659,0.000480
Age 11-60 Female,0.017436,0.002887,0.097304,0.040440,-0.002343,0.000541,0.000983,0.000567
Age 11-60 Male,0.012506,0.002319,0.090890,0.039574,-0.001757,0.000533,0.000311,0.000559
Age 60+All,0.023028,0.003380,0.098235,0.042792,-0.002556,0.000570,0.001430,0.000593
Age 60+ Female,0.021067,0.004034,0.091446,0.049311,-0.002914,0.000658,0.001256,0.000684
Age 60+ Male,0.025291,0.004710,0.106217,0.051929,-0.002144,0.000692,0.001632,0.000721
All: LAG 1,0.009383,0.001956,0.003380,0.031999,-0.000392,0.000431,0.000713,0.000447
Female,0.008240,0.002513,-0.012689,0.036088,-0.000630,0.000486,0.000527,0.000505
Male,0.010609,0.002166,0.020660,0.035366,-0.000135,0.000478,0.000912,0.000494
Warm All,0.007782,0.002130,0.021492,0.036881,0.000947,0.000353,0.000628,0.000424
Warm Female,0.005986,0.002728,0.054262,0.042476,0.000355,0.000407,0.000294,0.000490
Warm Male,0.009734,0.002527,-0.013540,0.042143,0.001589,0.000404,0.000991,0.000484
Cold All,0.011194,0.003486,-0.001697,0.029726,-0.002531,0.000530,0.000776,0.000471
Cold Female,0.010722,0.004492,-0.037541,0.033033,-0.002292,0.000589,0.000725,0.000523
Cold Male,0.011718,0.003738,0.036705,0.032077,-0.002784,0.000573,0.000833,0.000509
