Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
All: LAG 0,-0.025164,0.005096,-0.131805,0.044454,0.000114,0.000603,-0.001867,0.000642
Female,-0.020782,0.006498,-0.073717,0.056583,0.000129,0.000767,-0.001437,0.000817
Male,-0.029478,0.006560,-0.189081,0.057214,0.000101,0.000775,-0.002294,0.000827
Warm All,-0.027597,0.005154,-0.136366,0.044158,-0.000419,0.000650,-0.002164,0.000657
Warm Female,-0.025026,0.006404,-0.069576,0.054805,-0.000953,0.000806,-0.001757,0.000815
Warm Male,-0.030106,0.006356,-0.200137,0.054373,0.000091,0.000800,-0.002565,0.000810
Cold All,-0.020349,0.006256,-0.125435,0.055576,0.000907,0.000656,-0.001294,0.000789
Cold Female,-0.010717,0.007721,-0.066400,0.068259,0.001600,0.000809,-0.000432,0.000971
Cold Male,-0.030201,0.007957,-0.186636,0.070986,0.000196,0.000834,-0.002174,0.001006
Age 0-10 All,-0.013872,0.009011,-0.108348,0.074001,0.003356,0.001061,-0.001012,0.001125
Age 0-10 Female,-0.006627,0.012451,-0.023749,0.101394,0.003110,0.001470,0.000221,0.001547
Age 0-10 Male,-0.019407,0.011032,-0.173998,0.091184,0.003549,0.001298,-0.001956,0.001382
Age 11-60 All,-0.033837,0.006232,-0.178210,0.055740,-0.000889,0.000735,-0.002349,0.000789
Age 11-60 Female,-0.029286,0.008129,-0.126379,0.072427,-0.000134,0.000955,-0.002255,0.001027
Age 11-60 Male,-0.038714,0.008417,-0.233707,0.075390,-0.001698,0.000994,-0.002465,0.001063
Age 60+All,-0.016739,0.011129,-0.005487,0.101210,-0.003179,0.001323,-0.001868,0.001407
Age 60+ Female,-0.014798,0.014408,0.018171,0.130210,-0.003869,0.001718,-0.001362,0.001815
Age 60+ Male,-0.019250,0.016804,-0.037389,0.154077,-0.002275,0.001990,-0.002554,0.002136
All: LAG 1,-0.020112,0.005058,-0.100781,0.043923,0.000480,0.000600,-0.001853,0.000635
Female,-0.022159,0.006468,-0.070340,0.056126,0.000321,0.000766,-0.002096,0.000812
Male,-0.018107,0.006514,-0.131214,0.056520,0.000638,0.000774,-0.001622,0.000817
Warm All,-0.022763,0.005096,-0.130967,0.043669,-0.000180,0.000646,-0.002019,0.000646
Warm Female,-0.031045,0.006350,-0.128148,0.054495,-0.001029,0.000804,-0.002928,0.000806
Warm Male,-0.014923,0.006281,-0.135043,0.053698,0.000653,0.000795,-0.001173,0.000795
Cold All,-0.018630,0.006280,-0.056206,0.054998,0.001311,0.000656,-0.002165,0.000789
Cold Female,-0.006147,0.007749,0.042623,0.067535,0.002144,0.000810,-0.000649,0.000972
Cold Male,-0.031579,0.007997,-0.159869,0.070300,0.000448,0.000836,-0.003734,0.001005
Age 0-10 All,-0.000343,0.008948,0.011418,0.073593,0.003392,0.001068,-0.000247,0.001110
Age 0-10 Female,-0.003591,0.012370,0.025741,0.100905,0.002975,0.001476,-0.000832,0.001533
Age 0-10 Male,0.002131,0.010947,-0.000011,0.090596,0.003712,0.001308,0.000199,0.001359
Age 11-60 All,-0.031364,0.006193,-0.179459,0.054993,-0.000700,0.000732,-0.002971,0.000782
Age 11-60 Female,-0.032018,0.008108,-0.151816,0.071766,-0.000198,0.000954,-0.003249,0.001024
Age 11-60 Male,-0.031001,0.008354,-0.210622,0.074268,-0.001256,0.000988,-0.002735,0.001052
Age 60+All,-0.020636,0.011160,-0.080946,0.100794,-0.001329,0.001327,-0.001181,0.001403
Age 60+ Female,-0.018952,0.014428,0.029119,0.130036,-0.002179,0.001716,-0.000323,0.001804
Age 60+ Male,-0.023004,0.016910,-0.234018,0.153115,-0.000161,0.002009,-0.002404,0.002140
All: LAG2,-0.007034,0.005071,-0.034325,0.043660,0.000634,0.000602,-0.000762,0.000635
Female,-0.007661,0.006485,-0.004229,0.055831,-0.000001,0.000768,-0.000438,0.000811
Male,-0.006420,0.006520,-0.064671,0.056131,0.001268,0.000774,-0.001087,0.000816
Warm All,-0.007326,0.005077,-0.056218,0.043366,0.000295,0.000647,-0.000458,0.000643
Warm Female,-0.013755,0.006321,-0.050607,0.054052,-0.000811,0.000806,-0.000330,0.000800
Warm Male,-0.001180,0.006260,-0.062428,0.053425,0.001366,0.000798,-0.000590,0.000792
Cold All,-0.009428,0.006343,-0.000500,0.054718,0.001046,0.000658,-0.001867,0.000794
Cold Female,0.002125,0.007830,0.079903,0.067391,0.001048,0.000813,-0.000969,0.000980
Cold Male,-0.021332,0.008066,-0.084519,0.069712,0.001047,0.000835,-0.002792,0.001010
Age 0-10 All,0.011696,0.008953,0.062095,0.073321,0.002895,0.001070,0.000677,0.001108
Age 0-10 Female,0.002623,0.012420,-0.005257,0.101243,0.002861,0.001483,0.000042,0.001539
Age 0-10 Male,0.018567,0.010922,0.112941,0.089762,0.002936,0.001309,0.001149,0.001351
Age 11-60 All,-0.018431,0.006215,-0.139054,0.054673,-0.000138,0.000735,-0.001448,0.000782
Age 11-60 Female,-0.019379,0.008130,-0.089409,0.071190,-0.000863,0.000958,-0.001375,0.001022
Age 11-60 Male,-0.017517,0.008373,-0.193814,0.073979,0.000635,0.000992,-0.001543,0.001054
Age 60+All,-0.004811,0.011156,0.127570,0.099571,-0.001273,0.001323,-0.001313,0.001404
Age 60+ Female,0.014663,0.014415,0.298434,0.128981,-0.001670,0.001718,0.001915,0.001800
Age 60+ Male,-0.031568,0.016926,-0.104271,0.150600,-0.000734,0.001995,-0.005857,0.002152
All: LAG 3,0.003779,0.005059,0.054292,0.043462,0.000493,0.000603,0.000461,0.000629
Female,-0.000897,0.006489,0.081519,0.055691,-0.000646,0.000770,0.000407,0.000807
Male,0.008320,0.006498,0.027310,0.055887,0.001617,0.000776,0.000509,0.000809
Warm All,-0.002648,0.005057,0.018228,0.042928,-0.000460,0.000648,-0.000123,0.000634
Warm Female,-0.010218,0.006314,0.023045,0.053601,-0.001437,0.000807,-0.000436,0.000792
Warm Male,0.004573,0.006255,0.013815,0.053103,0.000473,0.000803,0.000178,0.000784
Cold All,0.009558,0.006318,0.101225,0.054745,0.001609,0.000657,0.000518,0.000792
Cold Female,0.009044,0.007821,0.159792,0.067654,0.000209,0.000813,0.000674,0.000980
Cold Male,0.010086,0.008006,0.040679,0.069489,0.003048,0.000832,0.000351,0.001005
Age 0-10 All,0.023154,0.008922,0.164650,0.072944,0.001242,0.001072,0.002044,0.001095
Age 0-10 Female,0.017795,0.012405,0.206218,0.100518,-0.001056,0.001485,0.001670,0.001522
Age 0-10 Male,0.027158,0.010895,0.133035,0.089658,0.002969,0.001311,0.002325,0.001337
Age 11-60 All,-0.006963,0.006205,-0.022257,0.054507,-0.000180,0.000737,-0.000337,0.000776
Age 11-60 Female,-0.014751,0.008130,-0.005166,0.071228,-0.001177,0.000961,-0.000618,0.001016
Age 11-60 Male,0.001148,0.008352,-0.041221,0.073577,0.000871,0.000997,-0.000052,0.001046
Age 60+All,0.002901,0.011157,0.071310,0.099108,0.001427,0.001322,0.000026,0.001406
Age 60+ Female,0.015802,0.014443,0.144364,0.128193,0.001807,0.001720,0.001812,0.001811
Age 60+ Male,-0.014928,0.016865,-0.030228,0.150006,0.000911,0.001987,-0.002489,0.002140
All: LAG 4,0.014384,0.005066,0.130399,0.043411,-0.001163,0.000607,0.001807,0.000628
Female,0.009006,0.006492,0.124972,0.055796,-0.001786,0.000774,0.001705,0.000804
Male,0.019665,0.006506,0.135332,0.055612,-0.000542,0.000782,0.001903,0.000807
Warm All,0.009638,0.005090,0.082191,0.043100,-0.002135,0.000656,0.000989,0.000634
Warm Female,0.000019,0.006351,0.011506,0.054112,-0.001363,0.000817,-0.000069,0.000793
Warm Male,0.018858,0.006268,0.148482,0.052794,-0.002880,0.000811,0.002002,0.000780
Cold All,0.018724,0.006302,0.204060,0.054396,-0.000168,0.000658,0.002574,0.000789
Cold Female,0.021154,0.007805,0.322031,0.067169,-0.002513,0.000813,0.004325,0.000973
Cold Male,0.016134,0.007997,0.081216,0.069215,0.002242,0.000833,0.000748,0.001005
Age 0-10 All,0.037492,0.008917,0.214768,0.072514,-0.001121,0.001074,0.004445,0.001087
Age 0-10 Female,0.040944,0.012375,0.308951,0.099940,-0.002546,0.001487,0.005078,0.001507
Age 0-10 Male,0.035054,0.010924,0.144197,0.089207,-0.000056,0.001315,0.003988,0.001332
Age 11-60 All,0.003273,0.006226,0.079506,0.054587,-0.000954,0.000743,0.000434,0.000776
Age 11-60 Female,-0.004300,0.008131,0.028860,0.071555,-0.001294,0.000966,0.000202,0.001012
Age 11-60 Male,0.011213,0.008384,0.131618,0.073254,-0.000592,0.001006,0.000670,0.001047
Age 60+All,0.007173,0.011161,0.110011,0.099432,-0.001988,0.001336,0.001145,0.001402
Age 60+ Female,0.003173,0.014517,0.098215,0.128893,-0.002239,0.001733,0.001212,0.001818
Age 60+ Male,0.012592,0.016736,0.128445,0.149825,-0.001700,0.002011,0.001072,0.002110
All: LAG 5,0.011780,0.005081,0.091501,0.043513,-0.000543,0.000609,0.001369,0.000628
Female,0.006660,0.006494,0.076026,0.055788,-0.000815,0.000776,0.000729,0.000802
Male,0.016793,0.006521,0.106305,0.055680,-0.000274,0.000783,0.001996,0.000807
Warm All,0.002930,0.005124,0.027801,0.043242,-0.001141,0.000656,0.000551,0.000637
Warm Female,-0.006367,0.006358,-0.030766,0.054014,-0.001456,0.000815,-0.000395,0.000791
Warm Male,0.011869,0.006320,0.082970,0.053016,-0.000844,0.000810,0.001465,0.000787
Cold All,0.024627,0.006256,0.216083,0.054462,0.000073,0.000663,0.002361,0.000782
Cold Female,0.027415,0.007768,0.265255,0.067420,-0.000134,0.000821,0.002202,0.000971
Cold Male,0.021823,0.007905,0.165451,0.069055,0.000283,0.000838,0.002522,0.000989
Age 0-10 All,0.036024,0.008899,0.151648,0.072023,-0.000723,0.001071,0.003844,0.001084
Age 0-10 Female,0.037058,0.012373,0.172858,0.099734,-0.000611,0.001487,0.003134,0.001505
Age 0-10 Male,0.035306,0.010891,0.136342,0.088314,-0.000801,0.001311,0.004380,0.001328
Age 11-60 All,0.001978,0.006246,0.095671,0.054759,-0.001015,0.000748,0.000353,0.000776
Age 11-60 Female,-0.002247,0.008115,0.090583,0.071273,-0.001579,0.000970,0.000154,0.001006
Age 11-60 Male,0.006469,0.008431,0.101570,0.073801,-0.000418,0.001011,0.000565,0.001051
Age 60+All,-0.002532,0.011154,-0.080475,0.099984,0.001702,0.001329,-0.000237,0.001397
Age 60+ Female,-0.010567,0.014532,-0.159830,0.129783,0.001533,0.001730,-0.001259,0.001827
Age 60+ Male,0.008157,0.016658,0.028200,0.150069,0.001873,0.001987,0.001081,0.002077
All: LAG 6,0.005657,0.005074,-0.031306,0.043781,0.001172,0.000610,0.000540,0.000629
Female,0.004669,0.006460,-0.047201,0.055915,0.001541,0.000775,0.000501,0.000800
Male,0.006634,0.006533,-0.015809,0.056175,0.000805,0.000788,0.000579,0.000811
Warm All,0.001459,0.005106,-0.090845,0.043479,0.001211,0.000655,0.000245,0.000636
Warm Female,0.002407,0.006324,-0.121138,0.054137,0.001779,0.000810,0.000720,0.000786
Warm Male,0.000549,0.006310,-0.061987,0.053501,0.000656,0.000811,-0.000217,0.000787
Cold All,0.008509,0.006239,0.072659,0.054672,0.000826,0.000668,0.000258,0.000784
Cold Female,0.004759,0.007717,0.077988,0.067560,0.000984,0.000825,-0.000608,0.000969
Cold Male,0.012429,0.007922,0.067357,0.069500,0.000667,0.000848,0.001159,0.000996
Age 0-10 All,0.025877,0.008919,-0.044022,0.072454,0.002297,0.001074,0.002257,0.001093
Age 0-10 Female,0.032333,0.012337,-0.021922,0.100428,0.002761,0.001486,0.002799,0.001504
Age 0-10 Male,0.020939,0.010952,-0.061467,0.088771,0.001958,0.001319,0.001837,0.001347
Age 11-60 All,-0.005441,0.006227,-0.026534,0.054976,0.000532,0.000748,-0.000506,0.000777
Age 11-60 Female,-0.005920,0.008081,-0.047566,0.071109,0.000392,0.000967,-0.000437,0.001007
Age 11-60 Male,-0.004936,0.008411,-0.003650,0.074518,0.000681,0.001014,-0.000577,0.001050
Age 60+All,0.003981,0.011058,-0.018339,0.100992,0.001250,0.001340,0.000705,0.001380
Age 60+ Female,-0.004180,0.014359,-0.101955,0.131169,0.003586,0.001734,-0.000180,0.001792
Age 60+ Male,0.015346,0.016632,0.097821,0.151812,-0.001968,0.002024,0.001939,0.002077
All: LAG 7,0.012011,0.005101,0.016240,0.044005,0.000050,0.000610,0.001161,0.000631
Female,0.006804,0.006501,-0.060887,0.056123,0.000570,0.000776,0.000631,0.000803
Male,0.017156,0.006545,0.091974,0.056366,-0.000468,0.000783,0.001688,0.000810
Warm All,0.009991,0.005127,-0.027801,0.043799,-0.000328,0.000652,0.001058,0.000637
Warm Female,0.009005,0.006352,-0.078510,0.054396,0.000734,0.000809,0.000995,0.000788
