Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
All: LAG 0,0.025648,0.005956,0.144662,0.053721,-0.002144,0.000731,0.000680,0.000757
Female,0.029012,0.006488,0.165608,0.058403,-0.002200,0.000799,0.000948,0.000825
Male,0.021243,0.006542,0.116572,0.059144,-0.002067,0.000798,0.000333,0.000832
Warm All,0.021283,0.005001,0.288194,0.058813,0.000243,0.000596,0.000781,0.000712
Warm Female,0.024351,0.005581,0.306386,0.065504,0.000249,0.000667,0.000735,0.000795
Warm Male,0.017301,0.005563,0.263746,0.065617,0.000242,0.000659,0.000859,0.000790
Cold All,0.032120,0.007105,0.073262,0.050965,-0.006160,0.000911,0.001087,0.000804
Cold Female,0.035572,0.007614,0.097261,0.054541,-0.006330,0.000980,0.001519,0.000861
Cold Male,0.027495,0.007725,0.040983,0.055474,-0.005936,0.000985,0.000501,0.000875
Age 0-10 All,0.025614,0.014186,0.143335,0.130912,0.002591,0.001648,0.002595,0.001801
Age 0-10 Female,0.038322,0.020581,0.326965,0.186189,0.001439,0.002386,0.002962,0.002611
Age 0-10 Male,0.015194,0.018362,-0.015787,0.172213,0.003556,0.002137,0.002300,0.002331
Age 11-60 All,0.014025,0.005215,0.079406,0.047064,-0.000982,0.000626,0.000805,0.000661
Age 11-60 Female,0.013657,0.006784,0.062677,0.061248,-0.000635,0.000815,0.000744,0.000858
Age 11-60 Male,0.014415,0.007115,0.097507,0.064158,-0.001367,0.000854,0.000874,0.000903
Age 60+All,0.032229,0.008051,0.178721,0.072415,-0.003107,0.001002,0.000573,0.001024
Age 60+ Female,0.036072,0.008467,0.205285,0.076010,-0.003144,0.001058,0.001016,0.001077
Age 60+ Male,0.026463,0.009074,0.138197,0.081846,-0.003050,0.001123,-0.000092,0.001154
All: LAG 1,0.016241,0.006014,-0.007208,0.053475,0.000170,0.000730,0.001026,0.000754
Female,0.019623,0.006551,0.009060,0.058220,0.000654,0.000797,0.001576,0.000820
Male,0.011740,0.006603,-0.029056,0.058744,-0.000471,0.000799,0.000294,0.000828
Warm All,0.017901,0.005049,0.234975,0.058909,0.001484,0.000595,0.002178,0.000705
Warm Female,0.022043,0.005634,0.238647,0.065719,0.002411,0.000664,0.002767,0.000788
Warm Male,0.012385,0.005619,0.229830,0.065603,0.000258,0.000661,0.001401,0.000784
Cold All,0.013735,0.007179,-0.124686,0.050659,-0.002186,0.000912,0.000297,0.000805
Cold Female,0.015255,0.007683,-0.102934,0.054236,-0.002381,0.000978,0.000698,0.000860
Cold Male,0.011736,0.007810,-0.153505,0.055083,-0.001930,0.000989,-0.000248,0.000877
Age 0-10 All,0.028757,0.014177,0.151574,0.128960,0.002373,0.001656,0.002497,0.001800
Age 0-10 Female,0.022846,0.020763,0.125303,0.185527,0.001458,0.002392,0.001724,0.002640
Age 0-10 Male,0.033681,0.018218,0.177357,0.168094,0.003148,0.002154,0.003132,0.002310
Age 11-60 All,0.002454,0.005247,-0.032978,0.046855,0.000526,0.000627,0.000199,0.000662
Age 11-60 Female,0.004807,0.006818,-0.008771,0.061042,0.001291,0.000813,0.001032,0.000859
