Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
All: LAG 0,-0.002885226,0.004730495,0.00336791,0.04192441,0.002145581,0.000536658,0.000142191,0.000594032
Female,-0.003244497,0.005568999,0.02559854,0.04934226,0.001979194,0.000631527,0.00030134,0.000699435
Male,-0.002521767,0.005833881,-0.02067232,0.05170887,0.002325805,0.000663281,-3.53506E-05,0.000732395
Warm All,0.008189701,0.005350597,0.1287776,0.06245264,0.000354173,0.000591853,0.001190978,0.00078109
Warm Female,0.009154122,0.006671108,0.18088418,0.07773782,0.000254084,0.000737451,0.001671872,0.000973998
Warm Male,0.007134396,0.007115431,0.07266641,0.08320264,0.000460254,0.000787338,0.000666752,0.001038439
Cold All,-0.0161801,0.00801512,-0.05747779,0.05826697,0.004525124,0.000939962,-0.000718064,0.000885816
Cold Female,-0.016595946,0.009131857,-0.04592838,0.06649295,0.004231431,0.00107107,-0.000698334,0.00100933
Cold Male,-0.015728509,0.009478632,-0.06986573,0.068725,0.004848537,0.001115263,-0.000737983,0.001046586
Age 0-10 All,-0.007497444,0.007790481,-0.0457121,0.06728019,0.002673104,0.000888703,-0.000148488,0.00097129
Age 0-10 Female,-0.008159038,0.010404979,-0.1164862,0.0898685,0.003495596,0.001186363,-0.000212644,0.001295408
Age 0-10 Male,-0.006990492,0.00946109,0.01186368,0.08169516,0.002003485,0.001080849,-0.000104872,0.001180755
Age 11-60 All,-0.004151122,0.005508889,0.02161832,0.0492069,0.00155734,0.000625462,3.21846E-05,0.000692939
Age 11-60 Female,-0.007563976,0.006826642,0.07251585,0.06080403,0.000910883,0.000775083,-0.000162673,0.000858699
Age 11-60 Male,-0.000253335,0.00717981,-0.0377166,0.06432515,0.002302911,0.000815688,0.000249782,0.000903115
Age 60+All,0.008790538,0.008421517,0.03163807,0.07613822,0.003185569,0.000952717,0.000956425,0.001064795
Age 60+ Female,0.01588735,0.01085444,0.07970103,0.09803438,0.003265083,0.001225683,0.002339291,0.001373372
Age 60+ Male,-0.001010368,0.01251472,-0.03581994,0.1133075,0.003063837,0.001422154,-0.000950804,0.00158065
All: LAG 1,0.005512368,0.004743437,0.04966935,0.04174126,0.002144676,0.000539221,0.00073952,0.000594839
Female,0.000548862,0.005582167,0.03858484,0.04913053,0.002580287,0.000632974,7.0507E-05,0.000701144
Male,0.010830801,0.005844723,0.06153002,0.05143765,0.00166743,0.000667426,0.001451381,0.000731688
Warm All,0.018567971,0.005350827,0.16520995,0.062271534,0.000783376,0.000596859,0.002247295,0.00077781
Warm Female,0.013943702,0.006696534,0.15704834,0.07771626,0.001247088,0.000743457,0.001549351,0.000975922
Warm Male,0.02345853,0.007105725,0.17408636,0.0828623,0.000280503,0.000794804,0.002974844,0.001029319
Cold All,-0.011241185,0.008029757,-0.01506516,0.05785113,0.004263125,0.000937572,-0.000571716,0.00088816
Cold Female,-0.016504406,0.009142231,-0.02276757,0.06604582,0.00446969,0.001065914,-0.001231095,0.00101234
Cold Male,-0.005474684,0.009487953,-0.006658009,0.06813461,0.004033619,0.001113832,0.000144397,0.001047703
Age 0-10 All,0.010687767,0.007767153,0.0545245,0.06650798,0.003091279,0.000893091,0.001433255,0.000966933
Age 0-10 Female,0.01314158,0.01036549,0.03877592,0.08852339,0.003660419,0.001194292,0.001556743,0.001291579
Age 0-10 Male,0.008724117,0.009436266,0.06763094,0.08097306,0.002630798,0.001084758,0.001335278,0.001173878
Age 11-60 All,0.002582816,0.005526212,0.06289704,0.04901536,0.001755003,0.00062788,0.000342338,0.000694016
Age 11-60 Female,-0.00281023,0.006834316,0.0653035,0.06061093,0.002191677,0.000775041,-0.000261191,0.000858539
Age 11-60 Male,0.008772587,0.0072079,0.0599443,0.0639665,0.001241918,0.000821691,0.00103902,0.000904982
Age 60+All,0.005925107,0.00847388,-0.005185059,0.076302478,0.001849592,0.000954386,0.00077269,0.001071498
Age 60+ Female,-0.00615537,0.01095473,-0.04318717,0.09831684,0.002355203,0.001227186,-0.000967519,0.001390988
Age 60+ Male,0.02259519,0.0125285,0.0482172,0.113376,0.001133,0.001423398,0.003148962,0.001575325
All: LAG2,0.008499849,0.004759604,0.09117236,0.04148936,0.001090464,0.000541482,0.001168198,0.00059634
Female,0.003924141,0.005600949,0.06754484,0.04889589,0.001328528,0.000635394,0.000837468,0.000701752
Male,0.0134291,0.00586683,0.11664375,0.05107834,0.000828429,0.000669837,0.001525478,0.000735256
Warm All,0.009604026,0.005381541,0.13622584,0.06150657,-0.00057894,0.000602995,0.000992588,0.000780641
Warm Female,0.0073245,0.006716425,0.17595704,0.0766707,-0.000428546,0.000749975,0.001121304,0.000975928
Warm Male,0.012084587,0.007132125,0.09457298,0.08163726,-0.000742039,0.000801907,0.000865375,0.001032515
Cold All,0.004945918,0.008102365,0.06104777,0.05780109,0.003312125,0.000937159,0.001018405,0.000892994
Cold Female,-0.001176597,0.009225439,0.01634048,0.06613463,0.003422277,0.001065308,0.000501436,0.001016669
Cold Male,0.0116139,0.00956446,0.1087621,0.06788509,0.003191541,0.001111563,0.001581943,0.001054559
Age 0-10 All,0.017727468,0.007801707,0.13347696,0.06619353,0.000893182,0.000899847,0.002244191,0.000969935
Age 0-10 Female,0.01817238,0.01039603,0.1563494,0.08784679,0.00031724,0.001201264,0.002585047,0.001291625
Age 0-10 Male,0.017433168,0.009484127,0.11466197,0.08073092,0.001370734,0.001091741,0.001969421,0.001179751
Age 11-60 All,0.008258215,0.005535854,0.09444137,0.04862472,0.00128887,0.000628551,0.001258949,0.000693982
