Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
All:LAG 0,0.000754,0.001897,-0.015664,0.017489,-0.000098,0.000225,0.000000,0.000241
Female,-0.003093,0.002485,-0.065889,0.022817,0.000325,0.000293,-0.000473,0.000315
Male,0.003824,0.002094,0.025656,0.019360,-0.000446,0.000249,0.000380,0.000266
Warm All,-0.002459,0.001940,-0.037639,0.024179,0.000194,0.000223,-0.000102,0.000274
Warm Female,-0.005432,0.002610,-0.097242,0.032521,0.000205,0.000299,-0.000642,0.000370
Warm Male,-0.000123,0.002346,0.009583,0.029226,0.000185,0.000271,0.000323,0.000331
Cold All,0.002633,0.003474,-0.012716,0.024411,-0.000271,0.000436,-0.000046,0.000388
Cold Female,-0.002761,0.004500,-0.059293,0.031660,0.000978,0.000561,-0.000502,0.000502
Cold Male,0.007111,0.003695,0.026407,0.025913,-0.001355,0.000466,0.000329,0.000413
Age 0-10 All,0.000205,0.003831,0.032415,0.036023,-0.001024,0.000454,0.001046,0.000489
Age 0-10 Female,0.003413,0.005507,0.060945,0.051742,-0.000943,0.000652,0.001586,0.000703
Age 0-10 Male,-0.002143,0.004781,0.011620,0.045008,-0.001083,0.000567,0.000654,0.000610
Age 11-60 All,0.001678,0.002078,-0.021474,0.019112,0.000037,0.000246,0.000020,0.000264
Age 11-60 Female,-0.002815,0.002887,-0.082327,0.026429,0.000459,0.000340,-0.000474,0.000366
Age 11-60 Male,0.004744,0.002319,0.021703,0.021396,-0.000259,0.000276,0.000362,0.000294
Age 60+All,-0.002523,0.003380,-0.026090,0.030918,0.000008,0.000399,-0.000770,0.000429
Age 60+ Female,-0.006893,0.004034,-0.079752,0.036906,0.000561,0.000476,-0.001393,0.000511
Age 60+ Male,0.004181,0.004710,0.056156,0.042993,-0.000833,0.000555,0.000189,0.000598
All:LAG 1,0.001635,0.001956,0.005771,0.017983,-0.000121,0.000233,0.000072,0.000248
Female,-0.001738,0.002513,-0.031464,0.023038,0.000279,0.000298,-0.000402,0.000318
Male,0.004328,0.002166,0.036329,0.019942,-0.000451,0.000259,0.000452,0.000274
Warm All,-0.001933,0.002130,0.038758,0.026397,-0.000132,0.000248,-0.000137,0.000299
Warm Female,-0.005602,0.002728,-0.027503,0.033956,0.000061,0.000317,-0.000778,0.000384
Warm Male,0.000963,0.002527,0.091052,0.031167,-0.000288,0.000295,0.000367,0.000354
Cold All,0.003678,0.003486,-0.018505,0.024385,0.000230,0.000435,0.000044,0.000389
Cold Female,0.000221,0.004492,-0.040415,0.031462,0.000989,0.000557,-0.000322,0.000502
Cold Male,0.006523,0.003738,-0.000245,0.026106,-0.000428,0.000469,0.000347,0.000417
Age 0-10 All,0.001365,0.003985,0.028160,0.037356,-0.000671,0.000475,0.000184,0.000508
Age 0-10 Female,0.003139,0.005616,0.047613,0.052503,-0.000522,0.000668,0.000628,0.000717
Age 0-10 Male,0.000052,0.004903,0.013946,0.046043,-0.000783,0.000586,-0.000139,0.000624
Age 11-60 All,0.003193,0.002111,0.015800,0.019350,-0.000137,0.000252,0.000233,0.000267
Age 11-60 Female,-0.000810,0.002895,-0.026498,0.026464,0.000263,0.000343,-0.000363,0.000366
Age 11-60 Male,0.005948,0.002368,0.045736,0.021721,-0.000418,0.000284,0.000650,0.000300
Age 60+All,-0.004119,0.003416,-0.045592,0.031287,0.000285,0.000405,-0.000615,0.000432
Age 60+ Female,-0.006377,0.004072,-0.078003,0.037236,0.000678,0.000483,-0.000959,0.000515
Age 60+ Male,-0.000644,0.004728,0.004376,0.043360,-0.000311,0.000560,-0.000087,0.000597
All:LAG2,0.004373,0.001996,0.027568,0.018260,-0.000235,0.000239,0.000337,0.000253
Female,0.002593,0.002527,0.007908,0.023083,-0.000039,0.000301,0.000125,0.000320
Male,0.005810,0.002225,0.043769,0.020379,-0.000397,0.000267,0.000509,0.000282
Warm All,-0.000336,0.002272,0.032625,0.027621,-0.000283,0.000267,-0.000044,0.000319
Warm Female,-0.003175,0.002790,-0.033157,0.034096,-0.000296,0.000327,-0.000368,0.000392
Warm Male,0.001937,0.002692,0.084588,0.032567,-0.000271,0.000317,0.000214,0.000377
Cold All,0.009600,0.003539,0.019490,0.024719,-0.000040,0.000438,0.000588,0.000394
Cold Female,0.008807,0.004553,0.022075,0.031846,0.000585,0.000559,0.000421,0.000507
Cold Male,0.010223,0.003798,0.017281,0.026477,-0.000583,0.000472,0.000726,0.000423
Age 0-10 All,0.003368,0.004018,0.015553,0.037547,-0.000238,0.000482,-0.000045,0.000512
Age 0-10 Female,-0.002306,0.005643,-0.001525,0.052537,-0.000935,0.000673,-0.000646,0.000720
Age 0-10 Male,0.007381,0.004925,0.027697,0.046143,0.000266,0.000593,0.000377,0.000627
Age 11-60 All,0.005711,0.002154,0.038015,0.019647,-0.000244,0.000258,0.000541,0.000273
Age 11-60 Female,0.005091,0.002906,0.023993,0.026481,0.000042,0.000346,0.000445,0.000367
Age 11-60 Male,0.006134,0.002430,0.048028,0.022189,-0.000445,0.000292,0.000610,0.000308
Age 60+All,0.000016,0.003420,-0.003433,0.031177,-0.000203,0.000406,-0.000168,0.000431
Age 60+ Female,-0.001621,0.004078,-0.028902,0.037147,0.000154,0.000484,-0.000344,0.000515
Age 60+ Male,0.002497,0.004729,0.035467,0.043107,-0.000742,0.000560,0.000098,0.000596
All:LAG 3,0.003206,0.002033,0.014928,0.018613,-0.000309,0.000244,0.000179,0.000257
Female,0.002604,0.002549,0.000612,0.023313,-0.000103,0.000305,0.000162,0.000321
Male,0.003695,0.002264,0.026749,0.020750,-0.000479,0.000272,0.000193,0.000286
Warm All,-0.000692,0.002367,0.022261,0.028924,-0.000409,0.000280,-0.000224,0.000331
Warm Female,-0.002472,0.002846,-0.029931,0.034894,-0.000289,0.000336,-0.000369,0.000399
Warm Male,0.000745,0.002792,0.063604,0.033991,-0.000504,0.000331,-0.000104,0.000391
Cold All,0.006501,0.003548,0.006766,0.024795,-0.000138,0.000438,0.000401,0.000393
Cold Female,0.006740,0.004548,0.007561,0.031859,0.000372,0.000558,0.000433,0.000504
Cold Male,0.006241,0.003806,0.006109,0.026529,-0.000583,0.000472,0.000370,0.000422
Age 0-10 All,0.000862,0.004076,-0.006162,0.038148,-0.000157,0.000490,-0.000587,0.000519
Age 0-10 Female,-0.006989,0.005673,-0.067770,0.053038,-0.000390,0.000680,-0.001493,0.000723
Age 0-10 Male,0.006517,0.004985,0.038516,0.046713,0.000011,0.000601,0.000063,0.000634
Age 11-60 All,0.003925,0.002186,0.018638,0.019954,-0.000287,0.000263,0.000313,0.000276
Age 11-60 Female,0.004654,0.002927,0.014018,0.026680,-0.000090,0.000350,0.000461,0.000369
Age 11-60 Male,0.003415,0.002463,0.022011,0.022510,-0.000426,0.000297,0.000211,0.000312
Age 60+All,0.002044,0.003427,0.014572,0.031340,-0.000489,0.000408,0.000174,0.000431
Age 60+ Female,0.001663,0.004085,-0.003965,0.037315,-0.000010,0.000487,0.000132,0.000514
Age 60+ Male,0.002605,0.004731,0.042631,0.043258,-0.001216,0.000564,0.000234,0.000595
All:LAG 4,-0.000347,0.002053,0.003762,0.018771,-0.000346,0.000247,-0.000106,0.000258
Female,0.000042,0.002565,0.002501,0.023383,-0.000212,0.000308,0.000171,0.000322
Male,-0.000661,0.002285,0.004873,0.020943,-0.000456,0.000275,-0.000331,0.000288
Warm All,-0.003540,0.002420,-0.007537,0.029596,-0.000465,0.000288,-0.000581,0.000337
Warm Female,-0.004555,0.002904,-0.016505,0.035537,-0.000550,0.000345,-0.000572,0.000405
Warm Male,-0.002714,0.002833,-0.000097,0.034616,-0.000395,0.000338,-0.000584,0.000394
Cold All,0.002723,0.003557,0.010180,0.024863,-0.000268,0.000440,0.000299,0.000393
Cold Female,0.004744,0.004546,0.011585,0.031890,0.000267,0.000561,0.000783,0.000501
Cold Male,0.000978,0.003818,0.008930,0.026614,-0.000729,0.000474,-0.000116,0.000422
Age 0-10 All,-0.005680,0.004101,-0.080934,0.038342,0.000134,0.000493,-0.001023,0.000521
Age 0-10 Female,-0.007690,0.005694,-0.102082,0.053263,0.000295,0.000685,-0.000761,0.000722
Age 0-10 Male,-0.004198,0.005016,-0.065506,0.046898,0.000018,0.000603,-0.001212,0.000637
