Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
All: LAG 0,0.000754215,0.001896711,-0.01566351,0.01748936,-9.76766E-05,0.00022465,7.98912E-09,0.000240771
Female,-0.003093362,0.002484854,-0.065888605,0.022816583,0.000324608,0.000292993,-0.000473013,0.00031521
Male,0.003824286,0.002094139,0.02565649,0.0193595,-0.000445623,0.00024898,0.000379643,0.00026601
Warm All,-0.002458736,0.001940359,-0.03763856,0.0241794,0.000193644,0.000223145,-0.000101816,0.000274392
Warm Female,-0.005431701,0.002610409,-0.097241637,0.032520553,0.00020484,0.000299072,-0.000642199,0.000369983
Warm Male,-0.000123447,0.002345571,0.009583015,0.029226224,0.000185183,0.000270634,0.000322755,0.000330848
Cold All,0.002633276,0.003474175,-0.01271602,0.02441097,-0.00027074,0.000436189,-4.64129E-05,0.000387901
Cold Female,-0.002760865,0.004500253,-0.05929333,0.03166017,0.000977872,0.000561027,-0.000501676,0.000502361
Cold Male,0.00711061,0.003694555,0.02640689,0.02591314,-0.001355375,0.000465645,0.000329246,0.000412805
Age 0-10 All,0.000205333,0.003830862,0.03241509,0.03602274,-0.00102395,0.00045379,0.001045924,0.000488555
Age 0-10 Female,0.00341302,0.005506827,0.06094505,0.0517422,-0.000942542,0.000651877,0.001585628,0.0007026
Age 0-10 Male,-0.002142747,0.00478078,0.0116196,0.04500824,-0.001083107,0.000566932,0.000654129,0.000609849
Age 11-60 All,0.00167816,0.0020775,-0.02147432,0.01911227,3.73862E-05,0.000246347,2.00599E-05,0.000263523
Age 11-60 Female,-0.002814811,0.002887142,-0.082327237,0.026428801,0.000459199,0.000339975,-0.000474498,0.000365817
Age 11-60 Male,0.004744054,0.002318623,0.02170307,0.02139625,-0.000259463,0.000276372,0.000361755,0.000294394
Age 60+All,-0.002522519,0.003380005,-0.02609039,0.03091818,8.10444E-06,0.000398537,-0.000769957,0.000428673
Age 60+ Female,-0.006892677,0.004033659,-0.07975221,0.03690597,0.000560658,0.000476069,-0.00139271,0.00051139
Age 60+ Male,0.004180925,0.004710063,0.05615642,0.04299312,-0.000832606,0.000554521,0.000189006,0.000597859
All: LAG 1,0.001634658,0.001956057,0.005771318,0.017982971,-0.000121162,0.0002331,7.15238E-05,0.000247715
Female,-0.001738019,0.002513119,-0.03146424,0.02303802,0.000279136,0.000298195,-0.000401991,0.000318286
Male,0.004328051,0.002166186,0.03632898,0.01994175,-0.000450876,0.000259039,0.000452105,0.000274275
Warm All,-0.00193255,0.00213011,0.03875805,0.02639723,-0.000132243,0.000247996,-0.000136789,0.000299041
Warm Female,-0.005601769,0.002727962,-0.02750283,0.03395607,6.05127E-05,0.000316733,-0.000777839,0.000384174
Warm Male,0.000963448,0.002527481,0.091052373,0.031167042,-0.000287678,0.000295023,0.000366769,0.000353749
Cold All,0.003678233,0.00348594,-0.01850487,0.02438506,0.000229929,0.000435419,4.44808E-05,0.00038947
Cold Female,0.000220541,0.00449216,-0.04041457,0.03146222,0.000989457,0.000557061,-0.00032189,0.000501994
Cold Male,0.006523162,0.003737538,-0.000244692,0.026105952,-0.000428148,0.000469403,0.000346891,0.000417499
Age 0-10 All,0.001364658,0.003984906,0.02815991,0.03735606,-0.000671182,0.000475425,0.000183678,0.000507743
Age 0-10 Female,0.003139132,0.005616291,0.04761266,0.0525028,-0.000521875,0.000668397,0.000627801,0.000716807
Age 0-10 Male,5.203E-05,0.004903227,0.0139462,0.04604327,-0.000782748,0.000586148,-0.000138976,0.000623985
Age 11-60 All,0.003192748,0.002110901,0.01580042,0.01935013,-0.000136565,0.000251903,0.000233446,0.000267219
Age 11-60 Female,-0.000810118,0.002895387,-0.02649793,0.02646448,0.000263102,0.000343432,-0.000363166,0.000366471
Age 11-60 Male,0.005947546,0.002367756,0.04573572,0.02172079,-0.000418024,0.000283767,0.000650326,0.000299686
Age 60+All,-0.004118731,0.003416199,-0.04559247,0.03128721,0.00028516,0.000404965,-0.000614833,0.000431701
Age 60+ Female,-0.006376652,0.004072139,-0.07800263,0.03723567,0.00067816,0.000482933,-0.000959392,0.000514874
Age 60+ Male,-0.000644481,0.00472794,0.004375795,0.043359525,-0.000311363,0.000559902,-8.65946E-05,0.000596969
All: LAG2,0.004372855,0.00199612,0.02756846,0.01826049,-0.000235273,0.000238539,0.000336691,0.000252686
Female,0.002593456,0.002526834,0.007907864,0.023082526,-3.92674E-05,0.000300576,0.000124649,0.000319627
Male,0.005809694,0.002225292,0.04376852,0.02037925,-0.000396782,0.000266855,0.000509209,0.000281819
Warm All,-0.000335528,0.002272075,0.03262527,0.02762078,-0.000282588,0.000267026,-4.4452E-05,0.000318718
Warm Female,-0.003174585,0.002789926,-0.03315688,0.03409596,-0.000296259,0.000326796,-0.000368084,0.000392182
Warm Male,0.001936557,0.002691715,0.084588065,0.032566517,-0.000270825,0.00031739,0.000214227,0.000377024
Cold All,0.009599903,0.003539103,0.01949037,0.02471933,-3.99007E-05,0.000437621,0.000588036,0.000394451
Cold Female,0.008807414,0.004553216,0.02207485,0.03184606,0.000585059,0.000558923,0.000421392,0.000507422
Cold Male,0.010223165,0.003798098,0.01728061,0.02647744,-0.000583068,0.000471692,0.000725621,0.000423007
Age 0-10 All,0.003367946,0.004017832,0.01555251,0.03754686,-0.000237873,0.000481826,-4.51706E-05,0.000511954
Age 0-10 Female,-0.002305655,0.005642801,-0.001525,0.05253651,-0.000934691,0.000673425,-0.000645991,0.000720305
Age 0-10 Male,0.007381386,0.004924778,0.02769711,0.04614282,0.000266064,0.000592636,0.000376846,0.000626758
Age 11-60 All,0.005710927,0.002153534,0.03801484,0.01964679,-0.000243887,0.000257751,0.000540582,0.000272501
Age 11-60 Female,0.005091372,0.002906305,0.02399291,0.02648076,4.22931E-05,0.000345963,0.000444608,0.000367236
Age 11-60 Male,0.006133605,0.00243008,0.0480282,0.02218894,-0.000445434,0.000291765,0.000609984,0.000307721
Age 60+All,1.60495E-05,0.003420018,-0.003432837,0.031176868,-0.000202611,0.000405514,-0.000168042,0.00043149
Age 60+ Female,-0.001620717,0.004078287,-0.02890246,0.03714672,0.000153612,0.00048367,-0.000344228,0.000515155
Age 60+ Male,0.00249653,0.004729011,0.03546694,0.04310748,-0.000742001,0.000560472,9.79915E-05,0.000595561
All: LAG 3,0.003206035,0.002032517,0.01492802,0.01861343,-0.000309334,0.000243782,0.00017862,0.000256789
