Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
All: LAG 0,0.002447,0.003037,0.068623,0.027234,-0.000573,0.000362,0.000617,0.000382
Female,-0.000600,0.004190,0.057070,0.037507,-0.001049,0.000501,0.000204,0.000527
Male,0.005243,0.004097,0.079236,0.036845,-0.000140,0.000489,0.000998,0.000515
Warm All,0.005569,0.002801,0.189224,0.034054,0.000143,0.000325,0.000838,0.000396
Warm Female,0.002836,0.003860,0.187740,0.046990,-0.000491,0.000448,0.000459,0.000546
Warm Male,0.008078,0.003875,0.190859,0.047297,0.000712,0.000448,0.001189,0.000549
Cold All,-0.001654,0.003344,0.018463,0.023514,-0.001962,0.000418,0.000329,0.000372
Cold Female,-0.004998,0.004621,0.002386,0.032446,-0.002127,0.000578,-0.000108,0.000515
Cold Male,0.001457,0.004402,0.033414,0.030986,-0.001813,0.000552,0.000735,0.000489
Age 0-10 All,0.008415,0.033921,-0.257310,0.291601,0.007129,0.004105,-0.004927,0.004326
Age 0-10 Female,0.055438,0.044525,0.014089,0.388421,0.010154,0.005442,0.003659,0.005585
Age 0-10 Male,-0.018494,0.039676,-0.398218,0.338494,0.005633,0.004773,-0.010100,0.005120
Age 11-60 All,0.002185,0.003287,0.070146,0.029407,-0.000564,0.000393,0.000681,0.000413
Age 11-60 Female,0.000371,0.004607,0.062113,0.041088,-0.001022,0.000551,0.000516,0.000578
Age 11-60 Male,0.003784,0.004363,0.077246,0.039209,-0.000166,0.000521,0.000827,0.000549
Age 60+All,0.003815,0.007230,0.074531,0.065907,-0.000931,0.000857,0.000477,0.000910
Age 60+ Female,-0.007156,0.009727,0.031912,0.089011,-0.001472,0.001153,-0.001499,0.001226
Age 60+ Male,0.017298,0.010538,0.126503,0.095619,-0.000263,0.001250,0.002910,0.001325
All: LAG 1,0.008430,0.003040,0.066254,0.027255,-0.000041,0.000364,0.001394,0.000381
Female,0.005692,0.004187,0.027731,0.037525,-0.000017,0.000503,0.000993,0.000524
Male,0.010947,0.004108,0.101557,0.036826,-0.000061,0.000491,0.001767,0.000515
Warm All,0.011840,0.002788,0.148759,0.034013,0.000883,0.000326,0.001838,0.000391
Warm Female,0.010542,0.003844,0.188616,0.046815,0.000533,0.000451,0.001718,0.000538
Warm Male,0.013036,0.003875,0.112697,0.047359,0.001196,0.000451,0.001953,0.000546
Cold All,0.003326,0.003375,0.030011,0.023606,-0.001687,0.000420,0.000903,0.000375
Cold Female,-0.001121,0.004643,-0.044678,0.032536,-0.001057,0.000580,0.000290,0.000516
Cold Male,0.007446,0.004444,0.098614,0.030978,-0.002263,0.000552,0.001472,0.000494
Age 0-10 All,0.028191,0.034074,-0.405772,0.290069,0.005798,0.004181,0.001633,0.004241
Age 0-10 Female,0.080344,0.045380,0.367068,0.386392,0.002159,0.005610,0.010209,0.005594
Age 0-10 Male,-0.000909,0.039588,-0.814123,0.338037,0.007734,0.004834,-0.003178,0.004955
Age 11-60 All,0.008475,0.003293,0.070249,0.029411,-0.000026,0.000395,0.001468,0.000412
Age 11-60 Female,0.007625,0.004606,0.038821,0.041106,0.000060,0.000554,0.001345,0.000576
Age 11-60 Male,0.009229,0.004377,0.097981,0.039129,-0.000100,0.000523,0.001578,0.000549
Age 60+All,0.007327,0.007217,0.063904,0.066069,-0.000364,0.000860,0.000959,0.000905
Age 60+ Female,-0.006193,0.009713,-0.040388,0.089173,-0.000474,0.001159,-0.001063,0.001219
Age 60+ Male,0.023832,0.010521,0.191245,0.096105,-0.000222,0.001252,0.003444,0.001317
All: LAG2,0.006722,0.003064,0.047700,0.027290,-0.000063,0.000366,0.000814,0.000384
Female,0.005251,0.004210,0.076220,0.037354,-0.000781,0.000505,0.000775,0.000526
Male,0.008100,0.004127,0.021328,0.036865,0.000590,0.000491,0.000853,0.000519
Warm All,0.010487,0.002786,0.126862,0.033312,0.000459,0.000327,0.001343,0.000391
Warm Female,0.009512,0.003849,0.220606,0.045817,-0.000345,0.000453,0.001580,0.000538
Warm Male,0.011381,0.003863,0.041353,0.046325,0.001178,0.000451,0.001129,0.000545
Cold All,0.000511,0.003434,0.010908,0.023925,-0.000929,0.000423,0.000133,0.000381
Cold Female,-0.002164,0.004690,0.005635,0.032663,-0.001356,0.000580,-0.000231,0.000521
Cold Male,0.003020,0.004508,0.015882,0.031429,-0.000530,0.000553,0.000472,0.000501
Age 0-10 All,-0.019716,0.034781,-0.272894,0.291193,0.006639,0.004156,-0.006929,0.004441
Age 0-10 Female,-0.015073,0.046454,0.300116,0.390333,-0.004210,0.005586,-0.007721,0.005876
Age 0-10 Male,-0.021063,0.040282,-0.561762,0.337362,0.012428,0.004803,-0.006237,0.005170
Age 11-60 All,0.006991,0.003313,0.045872,0.029410,0.000014,0.000396,0.000997,0.000415
Age 11-60 Female,0.005786,0.004624,0.092281,0.040836,-0.000828,0.000555,0.001095,0.000577
Age 11-60 Male,0.008075,0.004392,0.004488,0.039191,0.000744,0.000523,0.000913,0.000553
Age 60+All,0.006118,0.007253,0.073417,0.065686,-0.000780,0.000861,0.000009,0.000910
Age 60+ Female,0.002963,0.009737,-0.018033,0.088685,-0.000461,0.001158,-0.000673,0.001224
Age 60+ Male,0.010039,0.010584,0.182763,0.095269,-0.001154,0.001253,0.000843,0.001325
All: LAG 3,0.005090,0.003072,0.047183,0.027303,-0.000227,0.000368,0.000877,0.000384
Female,0.003622,0.004209,0.051063,0.037302,-0.000283,0.000506,0.000956,0.000526
Male,0.006476,0.004137,0.043823,0.036874,-0.000174,0.000495,0.000808,0.000518
Warm All,0.007919,0.002802,0.098172,0.033729,0.000361,0.000332,0.001176,0.000392
Warm Female,0.007017,0.003862,0.134487,0.046386,0.000173,0.000457,0.001603,0.000540
Warm Male,0.008780,0.003880,0.065576,0.046722,0.000533,0.000459,0.000796,0.000544
Cold All,0.000107,0.003432,0.021810,0.023818,-0.001153,0.000422,0.000439,0.000379
Cold Female,-0.000828,0.004686,0.011194,0.032522,-0.000879,0.000580,0.000402,0.000518
Cold Male,0.001034,0.004492,0.031993,0.031221,-0.001405,0.000550,0.000478,0.000496
Age 0-10 All,0.005395,0.034312,0.016345,0.284356,-0.001531,0.004130,-0.002121,0.004313
Age 0-10 Female,0.004945,0.046075,-0.028703,0.373378,-0.003243,0.005583,-0.003591,0.005737
Age 0-10 Male,0.006511,0.039566,0.042774,0.332203,-0.000541,0.004744,-0.001239,0.005000
Age 11-60 All,0.007642,0.003314,0.061797,0.029396,-0.000098,0.000398,0.001137,0.000414
Age 11-60 Female,0.007357,0.004617,0.082583,0.040765,-0.000320,0.000557,0.001406,0.000576
Age 11-60 Male,0.007929,0.004397,0.043435,0.039173,0.000097,0.000526,0.000902,0.000550
Age 60+All,-0.010437,0.007268,-0.044505,0.065540,-0.000933,0.000863,-0.000583,0.000910
Age 60+ Female,-0.015624,0.009756,-0.118101,0.088419,-0.000017,0.001158,-0.001246,0.001225
Age 60+ Male,-0.004058,0.010597,0.045175,0.094997,-0.002056,0.001257,0.000223,0.001323
All: LAG 4,0.004048,0.003089,0.049089,0.027326,0.000192,0.000370,0.000676,0.000385
Female,0.001726,0.004229,0.013048,0.037314,0.000456,0.000507,0.000355,0.000527
Male,0.006167,0.004157,0.082393,0.036866,-0.000049,0.000498,0.000971,0.000518
Warm All,0.007157,0.002817,0.127508,0.033721,0.000153,0.000335,0.001165,0.000393
Warm Female,0.008424,0.003864,0.081802,0.046242,0.000484,0.000459,0.001307,0.000538
Warm Male,0.005956,0.003909,0.168358,0.046774,-0.000149,0.000464,0.001031,0.000545
Cold All,-0.000238,0.003441,0.010474,0.023809,0.000299,0.000423,0.000136,0.000379
Cold Female,-0.007239,0.004704,-0.021597,0.032502,0.000485,0.000579,-0.000518,0.000519
Cold Male,0.006292,0.004499,0.040553,0.031226,0.000127,0.000553,0.000743,0.000494
Age 0-10 All,0.024716,0.034400,0.150619,0.284672,0.000947,0.004169,-0.001757,0.004337
Age 0-10 Female,-0.015281,0.046457,-0.019736,0.388844,-0.000403,0.005566,-0.005720,0.005714
Age 0-10 Male,0.046126,0.039616,0.249791,0.325233,0.001407,0.004826,0.000588,0.005066
Age 11-60 All,0.006136,0.003333,0.061722,0.029489,0.000230,0.000400,0.000846,0.000415
Age 11-60 Female,0.004800,0.004641,0.046217,0.040852,0.000206,0.000559,0.000698,0.000578
Age 11-60 Male,0.007313,0.004417,0.075682,0.039252,0.000251,0.000530,0.000977,0.000550
Age 60+All,-0.009510,0.007297,-0.032886,0.065086,-0.000063,0.000864,-0.000268,0.000911
Age 60+ Female,-0.013731,0.009802,-0.161603,0.088084,0.001708,0.001158,-0.001263,0.001226
Age 60+ Male,-0.004429,0.010637,0.118487,0.093886,-0.002228,0.001261,0.000928,0.001325
All: LAG 5,0.003007,0.003090,0.027546,0.027393,-0.000155,0.000370,0.000415,0.000384
Female,0.003418,0.004223,0.010496,0.037386,0.000239,0.000507,0.000674,0.000524
Male,0.002617,0.004160,0.043225,0.036946,-0.000515,0.000498,0.000176,0.000518
Warm All,0.004942,0.002808,0.084386,0.033556,-0.000529,0.000334,0.000618,0.000391
Warm Female,0.009761,0.003842,0.086176,0.045876,-0.000305,0.000458,0.001366,0.000535
Warm Male,0.000528,0.003908,0.082397,0.046788,-0.000735,0.000464,-0.000068,0.000545
Cold All,-0.000450,0.003445,-0.000217,0.023933,0.000324,0.000424,0.000114,0.000377
Cold Female,-0.006229,0.004710,-0.024107,0.032709,0.000860,0.000580,-0.000002,0.000516
Cold Male,0.004868,0.004501,0.021698,0.031319,-0.000168,0.000553,0.000224,0.000493
Age 0-10 All,0.018048,0.034402,0.049724,0.280852,-0.001888,0.004228,0.001786,0.004277
Age 0-10 Female,0.071932,0.046303,0.148064,0.378301,0.001513,0.005676,0.006658,0.005651
Age 0-10 Male,-0.013126,0.039711,-0.010642,0.323772,-0.003608,0.004879,-0.001082,0.004980
Age 11-60 All,0.003610,0.003333,0.023768,0.029546,0.000011,0.000400,0.000340,0.000414
Age 11-60 Female,0.004599,0.004632,0.027552,0.040890,0.000299,0.000558,0.000751,0.000574
Age 11-60 Male,0.002733,0.004419,0.020469,0.039304,-0.000241,0.000529,-0.000023,0.000550
Age 60+All,-0.001248,0.007311,0.048912,0.065491,-0.001048,0.000864,0.000833,0.000914
Age 60+ Female,-0.004408,0.009799,-0.088226,0.088599,-0.000052,0.001157,0.000129,0.001226
