Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
All: LAG 0,0.007128,0.005292,0.115944,0.046890,-0.001721,0.000627,-0.000220,0.000672
Female,0.005835,0.006626,0.110170,0.058594,-0.001341,0.000788,-0.000613,0.000841
Male,0.009030,0.007933,0.124510,0.070521,-0.002290,0.000936,0.000365,0.001007
Warm All,0.003285,0.005688,0.082144,0.050012,-0.002664,0.000719,-0.000792,0.000729
Warm Female,-0.001364,0.006861,0.055853,0.060242,-0.002096,0.000871,-0.001715,0.000879
Warm Male,0.010557,0.008163,0.122691,0.071954,-0.003527,0.001028,0.000656,0.001046
Cold All,0.014187,0.006070,0.174664,0.053461,-0.000620,0.000642,0.000724,0.000775
Cold Female,0.021707,0.007439,0.216407,0.065313,-0.000378,0.000787,0.001694,0.000951
Cold Male,0.003541,0.008639,0.114643,0.076522,-0.000968,0.000915,-0.000652,0.001102
Age 0-10 All,-0.022839,0.028142,-0.221598,0.255005,0.000761,0.003250,-0.006682,0.003648
Age 0-10 Female,-0.026654,0.038315,-0.417882,0.359987,-0.001842,0.004413,-0.004290,0.004897
Age 0-10 Male,-0.018591,0.036455,-0.071985,0.320828,0.002998,0.004221,-0.008702,0.004780
Age 11-60 All,0.009634,0.006143,0.081510,0.054515,-0.001297,0.000727,0.000620,0.000779
Age 11-60 Female,0.007311,0.007808,0.044432,0.069024,-0.000743,0.000926,0.000002,0.000990
Age 11-60 Male,0.013372,0.009693,0.143185,0.086543,-0.002195,0.001142,0.001612,0.001229
Age 60+All,0.004543,0.009103,0.219538,0.080318,-0.002899,0.001087,-0.001455,0.001155
Age 60+ Female,0.004993,0.011947,0.299064,0.105402,-0.002714,0.001434,-0.001769,0.001519
Age 60+ Male,0.003978,0.013584,0.111669,0.120017,-0.003126,0.001614,-0.001025,0.001719
All: LAG 1,0.000694,0.005315,0.074220,0.046988,-0.001449,0.000631,0.000013,0.000669
Female,0.005838,0.006651,0.101338,0.058605,-0.001308,0.000793,0.000588,0.000836
Male,-0.007070,0.007951,0.032213,0.070666,-0.001645,0.000938,-0.000871,0.001005
Warm All,-0.007261,0.005695,-0.013341,0.050126,-0.001034,0.000725,-0.001364,0.000724
Warm Female,-0.005125,0.006876,0.015024,0.060182,-0.000607,0.000879,-0.001458,0.000873
Warm Male,-0.010628,0.008167,-0.058828,0.072458,-0.001668,0.001034,-0.001231,0.001042
Cold All,0.013708,0.006126,0.224684,0.053532,-0.001917,0.000644,0.002240,0.000774
Cold Female,0.025806,0.007496,0.257651,0.065567,-0.002150,0.000790,0.004212,0.000945
Cold Male,-0.003388,0.008699,0.178251,0.076126,-0.001591,0.000914,-0.000571,0.001103
Age 0-10 All,-0.000572,0.028085,-0.064818,0.252476,0.001166,0.003233,0.000290,0.003614
Age 0-10 Female,-0.014091,0.038479,0.046293,0.353465,-0.001360,0.004334,-0.000635,0.004950
Age 0-10 Male,0.010443,0.036180,-0.151391,0.319851,0.003429,0.004246,0.001115,0.004657
Age 11-60 All,0.002046,0.006173,0.089860,0.054688,-0.001284,0.000731,0.000385,0.000777
Age 11-60 Female,0.011211,0.007841,0.108015,0.069308,-0.000283,0.000933,0.001298,0.000985
Age 11-60 Male,-0.012835,0.009726,0.059133,0.086568,-0.002862,0.001144,-0.001129,0.001229
Age 60+All,-0.002084,0.009118,0.054106,0.080143,-0.002091,0.001090,-0.000798,0.001147
Age 60+ Female,-0.005190,0.011992,0.090068,0.104707,-0.003772,0.001442,-0.000970,0.001507
Age 60+ Male,0.001859,0.013575,0.002943,0.120394,0.000110,0.001611,-0.000597,0.001710
All: LAG2,-0.012627,0.005339,-0.020314,0.046707,-0.002160,0.000629,-0.000946,0.000672
Female,-0.008844,0.006682,0.025991,0.058299,-0.002828,0.000791,-0.000507,0.000840
Male,-0.018325,0.007993,-0.090583,0.070134,-0.001179,0.000936,-0.001612,0.001007
Warm All,-0.024119,0.005683,-0.085101,0.049564,-0.002418,0.000721,-0.002593,0.000723
Warm Female,-0.023417,0.006859,-0.036426,0.059609,-0.003598,0.000872,-0.002695,0.000872
