G40-G47,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
All: LAG 0,-0.003863624,0.006362532,0.07248011,0.05807802,-0.001869239,0.000741529,-0.001244762,0.000810093
Female,-0.0005923,0.007841414,0.0892978,0.07140283,-0.001133169,0.000916284,-0.001061647,0.000996216
Male,-0.008996854,0.010070483,0.04597261,0.09218554,-0.003041333,0.001170059,-0.001550676,0.001287226
Warm All,-0.002118989,0.006094676,0.11340637,0.07574491,-0.001639224,0.000690939,-0.001768768,0.000878199
Warm Female,0.004001498,0.007437836,0.1452736,0.092415,-0.000464782,0.000846184,-0.000709138,0.00106547
Warm Male,-0.012160016,0.009501781,0.06216108,0.11811804,-0.003513492,0.001072315,-0.00357141,0.001383601
Cold All,-0.005812939,0.006747964,0.05502629,0.04814549,-0.002531615,0.000822845,-0.000975291,0.000754565
Cold Female,-0.004949755,0.008429043,0.06379786,0.05977584,-0.002194233,0.001028054,-0.001374142,0.000942588
Cold Male,-0.006772655,0.010828374,0.04319727,0.07782827,-0.003091086,0.00132168,-0.000325443,0.001210884
Age 0-10 All,-0.02705176,0.03081632,-0.2684957,0.29134,0.000367133,0.003561794,-0.006050779,0.003994672
Age 0-10 Female,-0.04614501,0.04118574,-0.4464965,0.3999479,-0.000175811,0.004733798,-0.006254578,0.005275962
Age 0-10 Male,-0.01092404,0.03938355,-0.1209521,0.3649298,0.00076587,0.004575092,-0.00595475,0.005152987
Age 11-60 All,-0.004064712,0.007440148,0.02603651,0.0678364,-0.001903138,0.000870013,-0.00092267,0.000945352
Age 11-60 Female,0.000656764,0.009250145,0.02311936,0.08383935,-0.001082942,0.001084414,-0.000747588,0.001173092
Age 11-60 Male,-0.01228202,0.01215226,0.03159445,0.11189488,-0.003333232,0.001416069,-0.001258464,0.001549552
Age 60+All,6.62E-05,0.0120911,0.24237649,0.10978752,-0.002122929,0.001399977,-0.001449718,0.001545437
Age 60+ Female,0.000771194,0.015850351,0.34958035,0.14521469,-0.001408946,0.001838427,-0.001451007,0.002024148
Age 60+ Male,-0.000659186,0.018333354,0.1070732,0.1646418,-0.003066683,0.002118766,-0.001420439,0.002346872
All: LAG 1,-0.007723958,0.006386431,0.07040135,0.05828782,-0.002269792,0.000745564,-0.000628313,0.000808279
Female,0.006085081,0.007867261,0.184340217,0.071462391,-0.002104736,0.000922558,0.00111749,0.000992117
Male,-0.029307669,0.010079791,-0.10998116,0.09241627,-0.002532885,0.001170656,-0.003404081,0.001282961
Warm All,-0.013807722,0.006105972,0.0817492,0.0756066,-0.002226975,0.00069623,-0.002310481,0.000872717
Warm Female,0.003008505,0.007468782,0.258096102,0.091981608,-0.000946683,0.000855488,0.0001952,0.001062889
Warm Male,-0.0406996,0.009490961,-0.20264858,0.1179369,-0.00423256,0.001076094,-0.006421952,0.001367192
Cold All,-0.00116003,0.006780938,0.06800144,0.04844018,-0.002625412,0.000823909,0.000423536,0.000755347
Cold Female,0.008390804,0.008421914,0.15963124,0.05984461,-0.004280579,0.001024866,0.001584883,0.000935389
Cold Male,-0.01526923,0.01086749,-0.07267935,0.07815619,-0.000116631,0.001317914,-0.001319977,0.001215977
Age 0-10 All,-0.002439119,0.031002786,-0.0415405,0.2876255,-0.000653097,0.003570178,0.001625612,0.003979885
Age 0-10 Female,0.01351258,0.04146797,0.1834661,0.3919114,-0.001563632,0.004686934,0.005057916,0.005257635
Age 0-10 Male,-0.01504466,0.03957075,-0.2117551,0.3629974,0.000169875,0.004631798,-0.001240582,0.005130452
Age 11-60 All,-0.007990047,0.007466699,0.05431114,0.06811082,-0.001812303,0.000874188,-0.000557688,0.000943303
Age 11-60 Female,0.009355697,0.009288295,0.17716233,0.08420756,-0.001153092,0.001091596,0.00141182,0.001170366
