G00-G99,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
All: LAG 0,0.007128492,0.005292494,0.11594368,0.04689035,-0.001720844,0.000627192,-0.000219641,0.000671848
Female,0.005834706,0.006625524,0.11016966,0.05859405,-0.001341433,0.00078788,-0.000613209,0.000840866
Male,0.009029752,0.007932876,0.12451024,0.07052077,-0.002289578,0.000936037,0.000364715,0.001006948
Warm All,0.003285238,0.005688166,0.08214358,0.05001216,-0.002663823,0.000719135,-0.000792474,0.000728673
Warm Female,-0.001363624,0.006861346,0.05585336,0.06024186,-0.002096076,0.000871243,-0.001715044,0.000878967
Warm Male,0.01055725,0.00816301,0.12269051,0.07195442,-0.003526779,0.001028427,0.000655597,0.001045568
Cold All,0.014187388,0.006070298,0.174663562,0.053461318,-0.000619958,0.000642147,0.000723527,0.000775364
Cold Female,0.021706638,0.007438581,0.216406812,0.065313412,-0.000377732,0.000786682,0.001693872,0.000950796
Cold Male,0.00354072,0.008639004,0.11464319,0.07652208,-0.000967651,0.000914565,-0.00065159,0.001102124
Age 0-10 All,-0.02283938,0.02814193,-0.2215979,0.2550045,0.000761257,0.003249945,-0.006681826,0.003648018
Age 0-10 Female,-0.0266537,0.03831543,-0.4178822,0.3599866,-0.001842012,0.004413228,-0.004290383,0.004897075
Age 0-10 Male,-0.01859105,0.03645509,-0.07198461,0.32082775,0.002997801,0.004221194,-0.008702087,0.00478005
Age 11-60 All,0.009634248,0.006143479,0.08150982,0.0545151,-0.001297482,0.000726816,0.000620051,0.000779198
Age 11-60 Female,0.007310637,0.007808427,0.04443171,0.06902398,-0.000743168,0.000926261,2.14057E-06,0.000990059
Age 11-60 Male,0.013372135,0.009693262,0.14318473,0.08654335,-0.002194616,0.001141797,0.001612042,0.001229399
Age 60+All,0.004543038,0.009102527,0.219537958,0.08031797,-0.002899129,0.001087096,-0.001455444,0.001155233
Age 60+ Female,0.00499343,0.0119472,0.299064039,0.105401579,-0.002713797,0.001433975,-0.001768816,0.001519343
Age 60+ Male,0.003977528,0.01358361,0.1116689,0.1200165,-0.00312588,0.001613905,-0.001025451,0.001719424
All: LAG 1,0.000693514,0.005315001,0.07421977,0.04698756,-0.001449471,0.00063058,1.27844E-05,0.000669418
Female,0.005837564,0.006650608,0.10133792,0.05860487,-0.001307881,0.000792775,0.000587671,0.000836021
Male,-0.007069851,0.007951443,0.03221255,0.07066562,-0.001644831,0.000937924,-0.000870664,0.00100454
Warm All,-0.007261115,0.005695212,-0.01334098,0.05012586,-0.001034499,0.000725241,-0.001363644,0.000724338
Warm Female,-0.005125328,0.006876062,0.0150239,0.0601816,-0.000607304,0.000879085,-0.001457841,0.000873059
Warm Male,-0.010628139,0.008167254,-0.05882775,0.07245784,-0.001667678,0.00103398,-0.001230622,0.00104173
Cold All,0.013708439,0.006126053,0.2246837,0.05353248,-0.001916589,0.000644245,0.002240231,0.000774017
Cold Female,0.025805663,0.007496109,0.2576513,0.06556716,-0.002150251,0.000789976,0.004212131,0.000944952
Cold Male,-0.003388258,0.008698609,0.17825052,0.07612594,-0.001591091,0.000913996,-0.000570765,0.001102686
Age 0-10 All,-0.00057202,0.028085281,-0.06481753,0.25247607,0.001166065,0.003232935,0.000290246,0.003614315
Age 0-10 Female,-0.01409053,0.03847882,0.04629289,0.35346453,-0.001359526,0.004334279,-0.000634557,0.004949539
Age 0-10 Male,0.01044319,0.03617973,-0.1513912,0.3198512,0.003429065,0.004246044,0.001114761,0.00465729
Age 11-60 All,0.002046181,0.006172768,0.08985964,0.05468791,-0.001284425,0.000731117,0.000385035,0.000777262
Age 11-60 Female,0.011211394,0.007840586,0.1080153,0.0693083,-0.000282852,0.000933203,0.001298086,0.000985228
Age 11-60 Male,-0.012834825,0.009726336,0.05913294,0.08656798,-0.002861562,0.001144103,-0.001129091,0.001229359
Age 60+All,-0.002083862,0.009118443,0.05410603,0.08014304,-0.002091057,0.00109002,-0.000797583,0.001146764
Age 60+ Female,-0.005190134,0.011992452,0.09006753,0.10470735,-0.003771932,0.001442055,-0.000970141,0.001506664
Age 60+ Male,0.001858955,0.013574942,0.002942888,0.120394496,0.000109614,0.001610721,-0.000597361,0.00170995
All: LAG2,-0.012627154,0.005338688,-0.02031376,0.04670738,-0.002160296,0.000629169,-0.000945812,0.000671981
Female,-0.008843537,0.006681694,0.02599112,0.05829872,-0.002828003,0.00079088,-0.000507453,0.000840084
Male,-0.018325311,0.007992802,-0.09058347,0.07013406,-0.001178891,0.000936386,-0.001611557,0.001007074
Warm All,-0.02411871,0.005683109,-0.08510117,0.04956409,-0.002417799,0.000721332,-0.00259277,0.000723095
Warm Female,-0.023416509,0.006858505,-0.03642646,0.05960892,-0.003597642,0.000872479,-0.002695189,0.000871909
Warm Male,-0.025244785,0.008189265,-0.1616931,0.07155999,-0.00063009,0.001032407,-0.002434537,0.00104179
Cold All,0.00593272,0.006150509,0.07186856,0.05343128,-0.001799413,0.000642808,0.00153698,0.000777059
Cold Female,0.015965899,0.007551239,0.11342905,0.06548282,-0.001889568,0.000791009,0.002998096,0.000952203
Cold Male,-0.008136132,0.008722629,0.01364613,0.07603914,-0.001670224,0.00091089,-0.000529232,0.001105057
Age 0-10 All,0.03233568,0.02814748,0.08618489,0.25082757,0.00180708,0.003312179,0.004901459,0.003565237
Age 0-10 Female,-0.05056323,0.0390438,-0.2407577,0.3580798,0.001909777,0.004473774,-0.004551843,0.004966598
Age 0-10 Male,0.099472192,0.035921667,0.318158,0.3126676,0.001659124,0.004316902,0.01257878,0.004541418
Age 11-60 All,-0.016938228,0.006207595,-0.03232076,0.05432997,-0.001864507,0.000730278,-0.001201999,0.000782108
Age 11-60 Female,-0.007549366,0.007881925,0.03048597,0.06888151,-0.002079535,0.000932208,-0.000410662,0.000992178
Age 11-60 Male,-0.032323066,0.009790048,-0.13536472,0.08579336,-0.001522052,0.001141951,-0.002513928,0.001234283
Age 60+All,-0.007469828,0.009152101,-0.003437066,0.079846481,-0.003179134,0.00108533,-0.000930946,0.00114891
Age 60+ Female,-0.008783154,0.012021786,0.0326781,0.1041205,-0.004972153,0.001433417,-0.000451797,0.001505483
Age 60+ Male,-0.005784747,0.013639155,-0.05589599,0.12011642,-0.000809448,0.001607017,-0.001582433,0.001717373
All: LAG 3,-0.014748395,0.005337293,-0.09491139,0.04688478,-0.000459465,0.000633125,-0.001330036,0.000671265
Female,-0.01088902,0.00668253,-0.08892118,0.05860247,-0.000160235,0.000794851,-0.001181504,0.000839676
Male,-0.020641916,0.007979161,-0.10424717,0.07023138,-0.000910161,0.000941605,-0.001569913,0.001004368
Warm All,-0.020063227,0.005695819,-0.148378294,0.049740465,-0.000220816,0.000728501,-0.001999899,0.000721153
Warm Female,-0.015683859,0.006875207,-0.13073719,0.05987975,-0.000139946,0.000881078,-0.001861115,0.000868949
Warm Male,-0.027033284,0.008195202,-0.17677531,0.07179112,-0.000355714,0.001041813,-0.002232988,0.001039117
Cold All,-0.005864586,0.006132472,-0.01659143,0.05373032,-0.00063342,0.000646931,-0.000241461,0.000778843
Cold Female,-0.0029057,0.007508725,-0.04375846,0.06572159,-6.6415E-05,0.000791387,-0.000197596,0.00095369
Cold Male,-0.010146209,0.008664007,0.02234895,0.07600564,-0.001458528,0.000915115,-0.000298586,0.001100069
Age 0-10 All,-0.004182877,0.027970293,-0.1856056,0.2497284,5.37613E-05,0.003318696,0.001047095,0.0035438
Age 0-10 Female,-0.006928626,0.038047828,-0.3480021,0.3561298,0.0033266,0.004495743,-0.001475157,0.004887081
Age 0-10 Male,-0.000762106,0.036279849,-0.06577152,0.31243943,-0.002817549,0.004323439,0.003184761,0.004545423
Age 11-60 All,-0.018437743,0.006193175,-0.123193,0.05447487,-0.000671841,0.000733106,-0.0016911,0.000779077
Age 11-60 Female,-0.013993538,0.007870068,-0.10180215,0.06899927,-0.000348284,0.000934581,-0.001285973,0.000988247
Age 11-60 Male,-0.025837449,0.009763585,-0.15921433,0.08627856,-0.001202124,0.001148081,-0.002380746,0.001230861
Age 60+All,-0.007734638,0.009157483,-0.02588206,0.08006082,-4.1613E-05,0.001090726,-0.000774317,0.001149948
Age 60+ Female,-0.003784868,0.012046852,-0.04156171,0.10523492,2.84448E-05,0.001439236,-0.000910341,0.001513808
Age 60+ Male,-0.01320538,0.01360792,-0.005547861,0.119094496,-0.000142686,0.0016141,-0.000610752,0.001707264
All: LAG 4,-0.006313607,0.005364741,-0.02625646,0.04686251,0.000289366,0.000634594,-0.000772703,0.00067462
Female,0.003377251,0.006703648,-0.01207814,0.0582782,0.000654506,0.000796503,0.000340203,0.000840636
Male,-0.020986416,0.00802883,-0.04840734,0.0706796,-0.000250332,0.000943782,-0.002477411,0.001014072
