Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
All: LAG 0,0.007986454,0.004697583,0.03611048,0.03976347,0.003539382,0.000560151,0.001535579,0.000580423
Female,0.007447208,0.005391123,0.04080142,0.0455677,0.004050991,0.000640405,0.001514288,0.000667129
Male,0.008506695,0.00486574,0.03153614,0.04124415,0.003037914,0.000583669,0.001555646,0.000600454
Warm All,0.02658382,0.003084318,0.2024097,0.03592012,0.002750996,0.000358387,0.003621953,0.000440667
Warm Female,0.02801691,0.003860484,0.2208328,0.04484245,0.003049438,0.000446215,0.003916235,0.000553277
Warm Male,0.02521916,0.00365775,0.1846965,0.04254502,0.002463376,0.000426582,0.003345911,0.000520838
Cold All,-0.012012285,0.005872208,-0.02696157,0.04100952,0.004440439,0.000727786,-0.000143525,0.000652647
Cold Female,-0.013767353,0.006559903,-0.026218,0.04583442,0.005195444,0.000808596,-0.000296598,0.000729906
Cold Male,-0.010286356,0.005833354,-0.02764447,0.04071035,0.003687841,0.000727866,5.95E-06,0.000647456
Age 0-10 All,0.017625608,0.006486211,0.07434212,0.05337807,0.003565883,0.000782999,0.00289984,0.000790854
Age 0-10 Female,0.019000039,0.008143318,0.09198336,0.06676151,0.003346165,0.000978384,0.00297779,0.000993194
Age 0-10 Male,0.016645543,0.007104647,0.06186691,0.05860585,0.003714327,0.000861621,0.002842638,0.000866442
Age 11-60 All,0.005697778,0.005290889,0.03773213,0.04522014,0.003663741,0.000628801,0.001360543,0.000656445
Age 11-60 Female,0.004829704,0.006145455,0.03687688,0.05241635,0.004389649,0.000728875,0.001424814,0.00076293
Age 11-60 Male,0.00664114,0.005835946,0.03876138,0.04999237,0.002869681,0.00069696,0.00129083,0.000723783
Age 60+All,0.002345646,0.005783072,-0.01152567,0.04949558,0.00321092,0.000691366,0.00040005,0.00071937
