OrdO,Health,Lag,AP,BETA,SEBETA,PVALUE,Sign,SignP,,,,,,,,,,,,,,,,
91,MenA,0,EAQHI,0.002446503,0.003037248,0.420589267,0,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
211,MenF,0,EAQHI,-0.000600057,0.004190374,0.886141753,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,MenM,0,EAQHI,0.005243293,0.004097482,0.200762528,0,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
451,MenAW,0,EAQHI,0.005568779,0.002801462,0.046915054,1,1,,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
571,MenFW,0,EAQHI,0.002835867,0.003860484,0.462642296,0,0,,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0
691,MenMW,0,EAQHI,0.008077701,0.003875236,0.03719685,1,1,,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1
811,MenAC,0,EAQHI,-0.001653561,0.003343524,0.620946193,0,0,,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1
931,MenFC,0,EAQHI,-0.004998183,0.004620626,0.27945991,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1051,MenMC,0,EAQHI,0.00145691,0.004402457,0.740717488,0,0,,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1
1171,MenMF10,0,EAQHI,0.008414834,0.033921398,0.804096766,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
1291,MenF10,0,EAQHI,0.05543757,0.04452509,0.21318852,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
1411,MenM10,0,EAQHI,-0.01849373,0.03967587,0.64116009,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1531,MenMF60,0,EAQHI,0.002184595,0.003286734,0.506307764,0,0,,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1651,MenF60,0,EAQHI,0.000370604,0.004607103,0.93589064,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771,MenM60,0,EAQHI,0.003784425,0.004362968,0.385787675,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1891,MenMF61,0,EAQHI,0.003814729,0.007229779,0.597783976,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,MenF61,0,EAQHI,-0.007155756,0.009726834,0.461982896,0,0,,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
2131,MenM61,0,EAQHI,0.0172982,0.01053759,0.10077439,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
92,MenA,1,EAQHI,0.00843017,0.003040086,0.005585368,1,1,,,,,,,,,,,,,,,,
212,MenF,1,EAQHI,0.005691579,0.004187443,0.174175635,0,0,,,,,,,,,,,,,,,,
332,MenM,1,EAQHI,0.010946786,0.004107963,0.007741582,1,1,,,,,,,,,,,,,,,,
452,MenAW,1,EAQHI,0.01183971,0.002787976,2.2293E-05,1,1,,,,,,,,,,,,,,,,
572,MenFW,1,EAQHI,0.010542391,0.003844282,0.006132961,1,1,,,,,,,,,,,,,,,,
692,MenMW,1,EAQHI,0.013036016,0.003875067,0.000776779,1,1,,,,,,,,,,,,,,,,
812,MenAC,1,EAQHI,0.003326182,0.003375378,0.324487582,0,0,,,,,,,,,,,,,,,,
932,MenFC,1,EAQHI,-0.001120732,0.004642895,0.809270668,0,0,,,,,,,,,,,,,,,,
1052,MenMC,1,EAQHI,0.007445748,0.004444449,0.093971873,0,0,,,,,,,,,,,,,,,,
1172,MenMF10,1,EAQHI,0.02819062,0.03407414,0.40810901,0,0,,,,,,,,,,,,,,,,
1292,MenF10,1,EAQHI,0.08034432,0.04537951,0.07673663,0,0,,,,,,,,,,,,,,,,
1412,MenM10,1,EAQHI,-0.000908537,0.039587699,0.981691559,0,0,,,,,,,,,,,,,,,,
1532,MenMF60,1,EAQHI,0.008474981,0.003293461,0.010117434,1,1,,,,,,,,,,,,,,,,
1652,MenF60,1,EAQHI,0.007624765,0.004605882,0.097930303,0,0,,,,,,,,,,,,,,,,
1772,MenM60,1,EAQHI,0.009228904,0.004377065,0.035065752,1,1,,,,,,,,,,,,,,,,
1892,MenMF61,1,EAQHI,0.007327155,0.007217051,0.310058242,0,0,,,,,,,,,,,,,,,,
2012,MenF61,1,EAQHI,-0.006192522,0.009713081,0.523814447,0,0,,,,,,,,,,,,,,,,
2132,MenM61,1,EAQHI,0.02383154,0.01052067,0.02356438,1,1,,,,,,,,,,,,,,,,
93,MenA,2,EAQHI,0.006722323,0.003064456,0.028330662,1,1,,,,,,,,,,,,,,,,
213,MenF,2,EAQHI,0.005251088,0.00420994,0.21237354,0,0,,,,,,,,,,,,,,,,
333,MenM,2,EAQHI,0.008100483,0.004126765,0.04974021,1,1,,,,,,,,,,,,,,,,
453,MenAW,2,EAQHI,0.010486817,0.002785932,0.000169993,1,1,,,,,,,,,,,,,,,,
573,MenFW,2,EAQHI,0.009512098,0.003849183,0.013516273,1,1,,,,,,,,,,,,,,,,
693,MenMW,2,EAQHI,0.011381199,0.003862894,0.003238662,1,1,,,,,,,,,,,,,,,,
813,MenAC,2,EAQHI,0.000510885,0.00343417,0.881748097,0,0,,,,,,,,,,,,,,,,
933,MenFC,2,EAQHI,-0.002163882,0.004690485,0.644589091,0,0,,,,,,,,,,,,,,,,
1053,MenMC,2,EAQHI,0.003020213,0.004508286,0.502952663,0,0,,,,,,,,,,,,,,,,
1173,MenMF10,2,EAQHI,-0.01971574,0.03478142,0.57085676,0,0,,,,,,,,,,,,,,,,
1293,MenF10,2,EAQHI,-0.01507321,0.04645409,0.74559869,0,0,,,,,,,,,,,,,,,,
1413,MenM10,2,EAQHI,-0.02106272,0.04028196,0.60109134,0,0,,,,,,,,,,,,,,,,
1533,MenMF60,2,EAQHI,0.006990647,0.003313044,0.034930276,1,1,,,,,,,,,,,,,,,,
1653,MenF60,2,EAQHI,0.005785923,0.004624269,0.210947357,0,0,,,,,,,,,,,,,,,,
1773,MenM60,2,EAQHI,0.00807543,0.004391994,0.066053568,0,0,,,,,,,,,,,,,,,,
1893,MenMF61,2,EAQHI,0.006118499,0.007253233,0.398979456,0,0,,,,,,,,,,,,,,,,
2013,MenF61,2,EAQHI,0.002963293,0.009737271,0.760899676,0,0,,,,,,,,,,,,,,,,
2133,MenM61,2,EAQHI,0.01003854,0.01058414,0.34296935,0,0,,,,,,,,,,,,,,,,
