Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
All: LAG 0,-0.003491,0.003452,-0.026409,0.031913,-0.000255,0.000407,0.000031,0.000438
Female,0.000592,0.004747,-0.011586,0.043914,-0.000087,0.000559,0.000626,0.000603
Male,-0.007359,0.004553,-0.040476,0.042072,-0.000415,0.000538,-0.000529,0.000577
Warm All,-0.007583,0.004040,-0.051959,0.037092,-0.000424,0.000508,-0.000952,0.000515
Warm Female,-0.001081,0.005152,-0.018352,0.047277,0.000036,0.000646,-0.000293,0.000658
Warm Male,-0.013629,0.004843,-0.082909,0.044481,-0.000862,0.000610,-0.001556,0.000616
Cold All,0.003450,0.004274,0.012028,0.039365,0.000008,0.000449,0.001803,0.000554
Cold Female,0.004844,0.005522,-0.000591,0.050914,-0.000225,0.000580,0.002512,0.000714
Cold Male,0.002151,0.005475,0.024546,0.050381,0.000237,0.000576,0.001116,0.000711
Age 0-10 All,-0.020685,0.011191,-0.122186,0.103098,0.001393,0.001286,-0.001303,0.001426
Age 0-10 Female,-0.026391,0.016260,-0.153207,0.149590,0.000425,0.001867,-0.002490,0.002081
Age 0-10 Male,-0.015715,0.014738,-0.094865,0.135903,0.002199,0.001694,-0.000316,0.001870
Age 11-60 All,-0.002999,0.004059,-0.037193,0.037517,-0.000575,0.000480,0.000119,0.000515
Age 11-60 Female,0.001093,0.005675,-0.030742,0.052566,-0.000289,0.000669,0.001015,0.000720
Age 11-60 Male,-0.006646,0.005398,-0.042873,0.049820,-0.000832,0.000640,-0.000674,0.000685
Age 60+All,0.000826,0.006365,0.033560,0.058903,0.000024,0.000750,0.000227,0.000808
Age 60+ Female,0.006814,0.008467,0.071321,0.078218,0.000230,0.000999,0.000557,0.001077
Age 60+ Male,-0.006217,0.009109,-0.010776,0.084480,-0.000217,0.001073,-0.000159,0.001155
All: LAG 1,-0.003140,0.003455,-0.007886,0.031627,-0.000142,0.000408,-0.000379,0.000438
Female,0.002863,0.004761,0.000192,0.043625,0.000540,0.000562,0.000282,0.000605
Male,-0.008863,0.004563,-0.015630,0.041739,-0.000793,0.000539,-0.001002,0.000576
Warm All,-0.004759,0.004051,-0.029044,0.036872,-0.000227,0.000511,-0.000860,0.000514
Warm Female,0.004831,0.005167,-0.021324,0.047088,0.001216,0.000651,0.000222,0.000658
Warm Male,-0.013715,0.004859,-0.036289,0.044214,-0.001580,0.000613,-0.001861,0.000616
Cold All,0.000045,0.004286,0.029553,0.038978,0.000005,0.000449,0.000590,0.000555
Cold Female,0.001310,0.005543,0.041653,0.050423,-0.000246,0.000582,0.000738,0.000720
Cold Male,-0.001218,0.005515,0.017378,0.050150,0.000248,0.000577,0.000447,0.000711
Age 0-10 All,-0.007725,0.011171,-0.057820,0.102372,0.002197,0.001298,-0.000887,0.001426
Age 0-10 Female,-0.012267,0.016263,-0.001810,0.148464,0.001294,0.001889,-0.000980,0.002086
Age 0-10 Male,-0.004055,0.014705,-0.106042,0.135182,0.002930,0.001711,-0.000850,0.001869
Age 11-60 All,-0.004759,0.004061,-0.025395,0.037164,-0.000631,0.000480,-0.000577,0.000515
Age 11-60 Female,0.001570,0.005688,-0.039700,0.052207,0.000295,0.000672,0.000123,0.000723
Age 11-60 Male,-0.010436,0.005415,-0.012672,0.049441,-0.001464,0.000640,-0.001198,0.000684
Age 60+All,0.002743,0.006398,0.055306,0.058558,0.000366,0.000756,0.000310,0.000807
