Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
All: LAG 0,0.013083,0.003673,0.06617,0.032485,-0.002089,0.000452,0.000407,0.000462
Female,0.012451,0.003779,0.073086,0.033569,-0.001855,0.000461,0.000562,0.000477
Male,0.013963,0.004734,0.056259,0.041574,-0.002446,0.000591,0.000185,0.000592
Warm All,0.010255,0.004365,0.160607,0.051033,-0.001009,0.000521,0.000205,0.000614
Warm Female,0.012393,0.004538,0.161029,0.053109,-0.000739,0.000538,0.000975,0.000641
Warm Male,0.007117,0.005866,0.159808,0.068569,-0.001418,0.000707,-0.000902,0.000819
Cold All,0.017542,0.006197,0.024956,0.043527,-0.003987,0.000801,0.000845,0.000697
Cold Female,0.013109,0.006342,0.032997,0.044732,-0.003735,0.000809,0.000412,0.000713
Cold Male,0.023898,0.007723,0.014029,0.053869,-0.004371,0.001017,0.001476,0.000868
Age 0-10 All,0.008939,0.01098,0.052722,0.098416,0.000194,0.0013,-0.000256,0.001391
Age 0-10 Female,-0.0016,0.016165,-0.017138,0.145177,0.002985,0.001873,-0.000115,0.002056
Age 0-10 Male,0.017139,0.014773,0.105303,0.132202,-0.00215,0.00178,-0.000364,0.001867
Age 11-60 All,0.007702,0.003714,0.044933,0.033063,-0.002288,0.000453,-0.000005,0.000468
Age 11-60 Female,0.007888,0.004116,0.051015,0.036707,-0.002115,0.000499,0.000149,0.00052
Age 11-60 Male,0.007115,0.005141,0.030783,0.045566,-0.002698,0.000635,-0.000366,0.000645
Age 60+All,0.022701,0.005012,0.102494,0.043781,-0.001947,0.00063,0.00116,0.000627
Age 60+ Female,0.026215,0.005486,0.139404,0.048169,-0.001591,0.000683,0.001731,0.000688
Age 60+ Male,0.020128,0.006205,0.075349,0.053942,-0.002229,0.000786,0.000747,0.000773
All: LAG 1,0.005642,0.003702,-0.0223,0.032364,-0.000651,0.000455,0.000229,0.00046
Female,0.002716,0.003809,-0.037084,0.033453,-0.000503,0.000464,0.000087,0.000475
Male,0.00983,0.004765,-0.001442,0.041384,-0.000877,0.000593,0.000427,0.000589
Warm All,0.006616,0.004382,0.087382,0.050861,0.000002,0.000522,0.000575,0.000607
Warm Female,0.005704,0.004566,0.083032,0.053008,-0.000174,0.00054,0.000712,0.000636
Warm Male,0.007933,0.005884,0.093688,0.068268,0.000278,0.000707,0.000374,0.000809
